"Philosopher","Influenced"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Fernando_Savater"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Eugene_Thacker"
"http://dbpedia.org/resource/Emil_Fackenheim","http://dbpedia.org/resource/Douglas_John_Hall"
"http://dbpedia.org/resource/Emil_Fackenheim","http://dbpedia.org/resource/James_Doull"
"http://dbpedia.org/resource/Emil_Lask","http://dbpedia.org/resource/Eugen_Herrigel"
"http://dbpedia.org/resource/Emil_Lask","http://dbpedia.org/resource/Lucien_Goldmann"
"http://dbpedia.org/resource/Emil_Lask","http://dbpedia.org/resource/Martin_Heidegger"
"http://dbpedia.org/resource/Emil_Lask","http://dbpedia.org/resource/György_Lukács"
"http://dbpedia.org/resource/Emma_Goldman","http://dbpedia.org/resource/Ba_Jin"
"http://dbpedia.org/resource/Emma_Goldman","http://dbpedia.org/resource/Roger_Nash_Baldwin"
"http://dbpedia.org/resource/Emma_Goldman","http://dbpedia.org/resource/Itō_Noe"
"http://dbpedia.org/resource/Emma_Goldman","http://dbpedia.org/resource/Margaret_Sanger"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Enrique_Dussel"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Alain_Finkielkraut"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Avital_Ronell"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Hilary_Putnam"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Robert_Bernasconi"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Zygmunt_Bauman"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Carlo_Lottieri"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/John_Llewelyn"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Alphonso_Lingis"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Benny_Lévy"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Bernard-Henri_Lévy"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Judith_Butler"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Jacques_Derrida"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Simon_Critchley"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Giorgio_Agamben"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Maurice_Blanchot"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://dbpedia.org/resource/Paul_Ricœur"
"http://dbpedia.org/resource/Emmanuel_Mounier","http://dbpedia.org/resource/Abbé_Pierre"
"http://dbpedia.org/resource/Emmanuel_Mounier","http://dbpedia.org/resource/Pierre_Trudeau"
"http://dbpedia.org/resource/Emmanuel_Mounier","http://dbpedia.org/resource/Ngô_Đình_Nhu"
"http://dbpedia.org/resource/Emmanuel_Mounier","http://dbpedia.org/resource/Paul_Ricœur"
"http://dbpedia.org/resource/Empedocles","http://dbpedia.org/resource/Lucretius"
"http://dbpedia.org/resource/Empedocles","http://dbpedia.org/resource/Aristotle"
"http://dbpedia.org/resource/Empedocles","http://dbpedia.org/resource/Friedrich_Nietzsche"
"http://dbpedia.org/resource/Empedocles","http://dbpedia.org/resource/Socrates"
"http://dbpedia.org/resource/Empedocles","http://dbpedia.org/resource/Gorgias"
"http://dbpedia.org/resource/Epictetus","http://dbpedia.org/resource/Arrian"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Seneca_the_Younger"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Lucretius"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Pierre_Gassendi"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/David_Hume"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Jean-Jacques_Rousseau"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Jeremy_Bentham"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/John_Stuart_Mill"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Diogenes_of_Oenoanda"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Hermarchus"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Baruch_Spinoza"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Thomas_Hobbes"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Thomas_Jefferson"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Metrodorus_of_Lampsacus_(the_younger)"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Voltaire"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Philodemus"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Isaac_Newton"
"http://dbpedia.org/resource/Epicurus","http://dbpedia.org/resource/Karl_Marx"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Leo_Strauss"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Raymond_Aron"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Frederick_G._Lawrence"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Flannery_O'Connor"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Bruno_Latour"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/William_F._Buckley_Jr."
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/William_Havard"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Roger_Scruton"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Rudolf_Bultmann"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Russell_Kirk"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Ellis_Sandoz"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/James_V._Schall"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Martin_Palouš"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Olavo_de_Carvalho"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Robert_P._George"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Robert_B._Heilman"
"http://dbpedia.org/resource/Eric_Voegelin","http://dbpedia.org/resource/Walker_Percy"
"http://dbpedia.org/resource/Erich_Fromm","http://dbpedia.org/resource/Elias_Porter"
"http://dbpedia.org/resource/Erich_Fromm","http://dbpedia.org/resource/Chögyam_Trungpa"
"http://dbpedia.org/resource/Erich_Fromm","http://dbpedia.org/resource/Martin_Luther_King_Jr."
"http://dbpedia.org/resource/Erich_Fromm","http://dbpedia.org/resource/Paulo_Freire"
"http://dbpedia.org/resource/Erich_Przywara","http://dbpedia.org/resource/Edith_Stein"
"http://dbpedia.org/resource/Erich_Przywara","http://dbpedia.org/resource/Hans_Urs_von_Balthasar"
"http://dbpedia.org/resource/Erich_Przywara","http://dbpedia.org/resource/Pope_Benedict_XVI"
"http://dbpedia.org/resource/Erich_Przywara","http://dbpedia.org/resource/Josef_Pieper"
"http://dbpedia.org/resource/Erich_Przywara","http://dbpedia.org/resource/Karl_Barth"
"http://dbpedia.org/resource/Erich_Przywara","http://dbpedia.org/resource/Karl_Rahner"
"http://dbpedia.org/resource/Erich_Przywara","http://dbpedia.org/resource/Roman_Ingarden"
"http://dbpedia.org/resource/Ernest_Gellner","http://dbpedia.org/resource/Anthony_D._Smith"
"http://dbpedia.org/resource/Ernest_Gellner","http://dbpedia.org/resource/John_A._Hall"
"http://dbpedia.org/resource/Ernest_Gellner","http://dbpedia.org/resource/Benedict_Anderson"
"http://dbpedia.org/resource/Ernest_Gellner","http://dbpedia.org/resource/José_Guilherme_Merquior"
"http://dbpedia.org/resource/Ernest_Gellner","http://dbpedia.org/resource/Michael_Mann_(sociologist)"
"http://dbpedia.org/resource/Ernest_Gellner","http://dbpedia.org/resource/Sinisa_Malesevic"
"http://dbpedia.org/resource/Ernest_Renan","http://dbpedia.org/resource/Charles_Maurras"
"http://dbpedia.org/resource/Ernest_Sosa","http://dbpedia.org/resource/Brie_Gertler"
"http://dbpedia.org/resource/Ernest_Sosa","http://dbpedia.org/resource/John_Greco_(philosopher)"
"http://dbpedia.org/resource/Ernesto_Laclau","http://dbpedia.org/resource/Slavoj_Žižek"
"http://dbpedia.org/resource/Ernst_Bloch","http://dbpedia.org/resource/Walter_Benjamin"
"http://dbpedia.org/resource/Ernst_Bloch","http://dbpedia.org/resource/Emmanuel_Levinas"
"http://dbpedia.org/resource/Ernst_Bloch","http://dbpedia.org/resource/Ernesto_Balducci"
"http://dbpedia.org/resource/Ernst_Bloch","http://dbpedia.org/resource/Fredric_Jameson"
"http://dbpedia.org/resource/Ernst_Bloch","http://dbpedia.org/resource/Jürgen_Moltmann"
"http://dbpedia.org/resource/Ernst_Bloch","http://dbpedia.org/resource/Theodor_W._Adorno"
"http://dbpedia.org/resource/Ernst_Cassirer","http://dbpedia.org/resource/Éric_Weil"
"http://dbpedia.org/resource/Ernst_Cassirer","http://dbpedia.org/resource/Leo_Strauss"
"http://dbpedia.org/resource/Ernst_Cassirer","http://dbpedia.org/resource/Susanne_Langer"
"http://dbpedia.org/resource/Ernst_Cassirer","http://dbpedia.org/resource/Wilbur_Marshall_Urban"
"http://dbpedia.org/resource/Ernst_Troeltsch","http://dbpedia.org/resource/James_Luther_Adams"
"http://dbpedia.org/resource/Ernst_Troeltsch","http://dbpedia.org/resource/H._Richard_Niebuhr"
"http://dbpedia.org/resource/Eugénio_Tavares","http://dbpedia.org/resource/Luís_de_Camões"
"http://dbpedia.org/resource/Eugénio_Tavares","http://dbpedia.org/resource/João_de_Deus_de_Nogueira_Ramos"
"http://dbpedia.org/resource/Evald_Ilyenkov","http://dbpedia.org/resource/Vasily_Davydov"
"http://dbpedia.org/resource/Evandro_Agazzi","http://dbpedia.org/resource/Carlo_Penco"
"http://dbpedia.org/resource/Lionel_Snell","http://dbpedia.org/resource/Chaos_magic"
"http://dbpedia.org/resource/Hans_Jonas","http://dbpedia.org/resource/Murray_Bookchin"
"http://dbpedia.org/resource/Hans_Jonas","http://dbpedia.org/resource/Eric_Voegelin"
"http://dbpedia.org/resource/Hans_Jonas","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Hans_Jonas","http://dbpedia.org/resource/Harold_Bloom"
"http://dbpedia.org/resource/Hans_Jonas","http://dbpedia.org/resource/Leon_Kass"
"http://dbpedia.org/resource/Hans_Jonas","http://dbpedia.org/resource/Zygmunt_Bauman"
"http://dbpedia.org/resource/Hans_Jonas","http://dbpedia.org/resource/John_Crowley_(author)"
"http://dbpedia.org/resource/Hans_Jonas","http://dbpedia.org/resource/Vittorio_Hösle"
"http://dbpedia.org/resource/Hans_Jonas","http://dbpedia.org/resource/Hava_Tirosh-Samuelson"
"http://dbpedia.org/resource/Hans_Jonas","http://dbpedia.org/resource/Michael_Hauskeller"
