"Philosopher","Influenced_By","Influenced"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/John_Locke","http://dbpedia.org/resource/Adam_Ferguson"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Polybius","http://dbpedia.org/resource/Adam_Ferguson"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Thomas_Hobbes","http://dbpedia.org/resource/Adam_Ferguson"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Jean_Bodin","http://dbpedia.org/resource/Adam_Ferguson"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/René_Descartes","http://dbpedia.org/resource/Adam_Ferguson"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Acts_of_Union_1707","http://dbpedia.org/resource/Edmund_Burke"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Edmund_Burke"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Nicolas_Malebranche","http://dbpedia.org/resource/Edmund_Burke"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Edmund_Burke"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/John_Locke","http://dbpedia.org/resource/Edmund_Burke"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Polybius","http://dbpedia.org/resource/Edmund_Burke"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Thomas_Hobbes","http://dbpedia.org/resource/Edmund_Burke"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Jean_Bodin","http://dbpedia.org/resource/Edmund_Burke"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/René_Descartes","http://dbpedia.org/resource/Edmund_Burke"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Acts_of_Union_1707","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Nicolas_Malebranche","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/John_Locke","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Polybius","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Thomas_Hobbes","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Jean_Bodin","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/René_Descartes","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Acts_of_Union_1707","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Nicolas_Malebranche","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/John_Locke","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Polybius","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Thomas_Hobbes","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Jean_Bodin","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/René_Descartes","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Acts_of_Union_1707","http://dbpedia.org/resource/Politics_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Politics_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Nicolas_Malebranche","http://dbpedia.org/resource/Politics_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Politics_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/John_Locke","http://dbpedia.org/resource/Politics_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Polybius","http://dbpedia.org/resource/Politics_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Thomas_Hobbes","http://dbpedia.org/resource/Politics_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Jean_Bodin","http://dbpedia.org/resource/Politics_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/René_Descartes","http://dbpedia.org/resource/Politics_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Acts_of_Union_1707","http://dbpedia.org/resource/Constitution_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Constitution_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Nicolas_Malebranche","http://dbpedia.org/resource/Constitution_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Constitution_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/John_Locke","http://dbpedia.org/resource/Constitution_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Polybius","http://dbpedia.org/resource/Constitution_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Thomas_Hobbes","http://dbpedia.org/resource/Constitution_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Jean_Bodin","http://dbpedia.org/resource/Constitution_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/René_Descartes","http://dbpedia.org/resource/Constitution_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Acts_of_Union_1707","http://dbpedia.org/resource/David_Hume"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/David_Hume"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Nicolas_Malebranche","http://dbpedia.org/resource/David_Hume"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/David_Hume"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/John_Locke","http://dbpedia.org/resource/David_Hume"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Polybius","http://dbpedia.org/resource/David_Hume"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Thomas_Hobbes","http://dbpedia.org/resource/David_Hume"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Jean_Bodin","http://dbpedia.org/resource/David_Hume"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/René_Descartes","http://dbpedia.org/resource/David_Hume"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Acts_of_Union_1707","http://dbpedia.org/resource/Amable_Guillaume_Prosper_Brugière,_baron_de_Barante"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Amable_Guillaume_Prosper_Brugière,_baron_de_Barante"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Nicolas_Malebranche","http://dbpedia.org/resource/Amable_Guillaume_Prosper_Brugière,_baron_de_Barante"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Amable_Guillaume_Prosper_Brugière,_baron_de_Barante"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/John_Locke","http://dbpedia.org/resource/Amable_Guillaume_Prosper_Brugière,_baron_de_Barante"
