"Philosopher","Influenced_By"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/György_Lukács"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Karl_Marx"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","http://dbpedia.org/resource/Johann_Wolfgang_von_Goethe"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","http://dbpedia.org/resource/Friedrich_Nietzsche"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","http://dbpedia.org/resource/Sigmund_Freud"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","http://dbpedia.org/resource/Martin_Buber"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","http://dbpedia.org/resource/Karl_Jaspers"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","http://dbpedia.org/resource/Søren_Kierkegaard"
"http://dbpedia.org/resource/Walter_of_Bruges","http://dbpedia.org/resource/Bonaventure"
"http://dbpedia.org/resource/Walter_of_Bruges","http://dbpedia.org/resource/Thomas_Aquinas"
"http://dbpedia.org/resource/Wendy_Brown_(political_theorist)","http://dbpedia.org/resource/Frankfurt_School"
"http://dbpedia.org/resource/Wendy_Brown_(political_theorist)","http://dbpedia.org/resource/Friedrich_Nietzsche"
"http://dbpedia.org/resource/Wendy_Brown_(political_theorist)","http://dbpedia.org/resource/Sheldon_Wolin"
"http://dbpedia.org/resource/Wendy_Brown_(political_theorist)","http://dbpedia.org/resource/Sigmund_Freud"
"http://dbpedia.org/resource/Wendy_Brown_(political_theorist)","http://dbpedia.org/resource/Karl_Marx"
"http://dbpedia.org/resource/Wendy_Brown_(political_theorist)","http://dbpedia.org/resource/Michel_Foucault"
"http://dbpedia.org/resource/Werner_Krieglstein","http://dbpedia.org/resource/Theodor_W._Adorno"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/James_Danielli"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Joseph_Gillman"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/William_Lieb"
"http://dbpedia.org/resource/Wilfred_Talbot_Smith","http://dbpedia.org/resource/Aleister_Crowley"
"http://dbpedia.org/resource/Wilfred_Talbot_Smith","http://dbpedia.org/resource/Charles_Stansfeld_Jones"
