item,itemLabel,article
http://www.wikidata.org/entity/Q77350,Karlheinz Deschner,https://en.wikipedia.org/wiki/Karlheinz_Deschner
http://www.wikidata.org/entity/Q76849,Georg Simmel,https://en.wikipedia.org/wiki/Georg_Simmel
http://www.wikidata.org/entity/Q77012,Heinrich Rickert,https://en.wikipedia.org/wiki/Heinrich_Rickert
http://www.wikidata.org/entity/Q76823,Karl Mannheim,https://en.wikipedia.org/wiki/Karl_Mannheim
http://www.wikidata.org/entity/Q76826,Max Horkheimer,https://en.wikipedia.org/wiki/Max_Horkheimer
http://www.wikidata.org/entity/Q153187,Ajita Kesakambali,https://en.wikipedia.org/wiki/Ajita_Kesakambali
http://www.wikidata.org/entity/Q154145,Gabriel Marcel,https://en.wikipedia.org/wiki/Gabriel_Marcel
http://www.wikidata.org/entity/Q164823,Girolamo Savonarola,https://en.wikipedia.org/wiki/Girolamo_Savonarola
http://www.wikidata.org/entity/Q165589,Leucippus,https://en.wikipedia.org/wiki/Leucippus
http://www.wikidata.org/entity/Q320042,Antiochus of Ascalon,https://en.wikipedia.org/wiki/Antiochus_of_Ascalon
http://www.wikidata.org/entity/Q320619,Abhinavagupta,https://en.wikipedia.org/wiki/Abhinavagupta
http://www.wikidata.org/entity/Q320955,Thrasymachus,https://en.wikipedia.org/wiki/Thrasymachus
http://www.wikidata.org/entity/Q231690,Bhimrao Ramji Ambedkar,https://en.wikipedia.org/wiki/B._R._Ambedkar
http://www.wikidata.org/entity/Q174929,Tertullian,https://en.wikipedia.org/wiki/Tertullian
http://www.wikidata.org/entity/Q175042,Nigidius Figulus,https://en.wikipedia.org/wiki/Nigidius_Figulus
http://www.wikidata.org/entity/Q76749,Edith Stein,https://en.wikipedia.org/wiki/Edith_Stein
http://www.wikidata.org/entity/Q236594,Sextus Empiricus,https://en.wikipedia.org/wiki/Sextus_Empiricus
http://www.wikidata.org/entity/Q237833,George Santayana,https://en.wikipedia.org/wiki/George_Santayana
http://www.wikidata.org/entity/Q170302,Saadi,https://en.wikipedia.org/wiki/Saadi_Shirazi
http://www.wikidata.org/entity/Q77381,Gottlob Ernst Schulze,https://en.wikipedia.org/wiki/Gottlob_Ernst_Schulze
http://www.wikidata.org/entity/Q77436,Jakob Friedrich Fries,https://en.wikipedia.org/wiki/Jakob_Friedrich_Fries
http://www.wikidata.org/entity/Q77888,Wilhelm von Humboldt,https://en.wikipedia.org/wiki/Wilhelm_von_Humboldt
http://www.wikidata.org/entity/Q441448,Carpocrates,https://en.wikipedia.org/wiki/Carpocrates
http://www.wikidata.org/entity/Q441590,Eustathius of Cappadocia,https://en.wikipedia.org/wiki/Eustathius_of_Cappadocia
http://www.wikidata.org/entity/Q441679,Vadim Rogovin,https://en.wikipedia.org/wiki/Vadim_Rogovin
http://www.wikidata.org/entity/Q444459,Alcidamas,https://en.wikipedia.org/wiki/Alcidamas
http://www.wikidata.org/entity/Q445460,Shantideva,https://en.wikipedia.org/wiki/Shantideva
http://www.wikidata.org/entity/Q235134,María Zambrano,https://en.wikipedia.org/wiki/Mar%C3%ADa_Zambrano
http://www.wikidata.org/entity/Q235494,Hipparchia of Maroneia,https://en.wikipedia.org/wiki/Hipparchia_of_Maroneia
http://www.wikidata.org/entity/Q78513,Otto Weininger,https://en.wikipedia.org/wiki/Otto_Weininger
http://www.wikidata.org/entity/Q78570,Otto Neurath,https://en.wikipedia.org/wiki/Otto_Neurath
http://www.wikidata.org/entity/Q262225,Arete of Cyrene,https://en.wikipedia.org/wiki/Arete_of_Cyrene
http://www.wikidata.org/entity/Q263681,Gene Sharp,https://en.wikipedia.org/wiki/Gene_Sharp
http://www.wikidata.org/entity/Q265133,Amina Wadud,https://en.wikipedia.org/wiki/Amina_Wadud
http://www.wikidata.org/entity/Q266016,Chantal Maillard,https://en.wikipedia.org/wiki/Chantal_Maillard
http://www.wikidata.org/entity/Q76519,Rudolf Carnap,https://en.wikipedia.org/wiki/Rudolf_Carnap
http://www.wikidata.org/entity/Q76517,Alexander Gottlieb Baumgarten,https://en.wikipedia.org/wiki/Alexander_Gottlieb_Baumgarten
http://www.wikidata.org/entity/Q267825,William of Champeaux,https://en.wikipedia.org/wiki/William_of_Champeaux
